
2010-10-28 00:41:16.602561
Filename;binary;time;iters;i/t;kernel;c;gamma;e;i;cache
data/a4a;./svm-cuda-train;237.000000;550555;2323.01687764;0;1;0.5;0.01;1000000;1000
data/breast-cancer_scale;./svm-train;0.040000;3219;80475.0;2;1;0.5;0.01;1000000;1000
data/breast-cancer_scale;./svm-cuda-train;1.070000;3219;3008.41121495;2;1;0.5;0.01;1000000;1000
data/breast-cancer_scale;./svm-train;0.060000;9440;157333.333333;0;1;0.5;0.01;1000000;1000
data/breast-cancer_scale;./svm-cuda-train;3.080000;9440;3064.93506494;0;1;0.5;0.01;1000000;1000
data/ionosphere_scale;./svm-train;0.050000;3332;66640.0;2;1;0.5;0.01;1000000;1000
data/ionosphere_scale;./svm-cuda-train;1.020000;3332;3266.66666667;2;1;0.5;0.01;1000000;1000
data/ionosphere_scale;./svm-train;0.080000;23196;289950.0;0;1;0.5;0.01;1000000;1000
data/ionosphere_scale;./svm-cuda-train;6.570000;23196;3530.59360731;0;1;0.5;0.01;1000000;1000
data/a1a;./svm-train;6.790000;12798;1884.83063328;2;1;0.5;0.01;1000000;10
data/a1a;./svm-cuda-train;6.330000;12798;2021.80094787;2;1;0.5;0.01;1000000;10
data/a1a;./svm-train;42.980000;162225;3774.42996743;0;1;0.5;0.01;1000000;10
data/a1a;./svm-cuda-train;62.500000;162225;2595.6;0;1;0.5;0.01;1000000;10
data/a2a;./svm-train;16.630000;22310;1341.55141311;2;1;0.5;0.01;1000000;10
data/a2a;./svm-cuda-train;11.220000;22310;1988.41354724;2;1;0.5;0.01;1000000;10
data/a2a;./svm-train;94.810000;254870;2688.21854235;0;1;0.5;0.01;1000000;10
data/a2a;./svm-cuda-train;101.900000;265416;2604.67124632;0;1;0.5;0.01;1000000;10
data/a3a;./svm-train;30.650000;29188;952.300163132;2;1;0.5;0.01;1000000;10
data/a3a;./svm-cuda-train;14.960000;29405;1965.57486631;2;1;0.5;0.01;1000000;10
data/a3a;./svm-train;181.430000;346153;1907.91489831;0;1;0.5;0.01;1000000;10
data/a3a;./svm-cuda-train;134.000000;346153;2583.23134328;0;1;0.5;0.01;1000000;10
data/a4a;./svm-train;71.430000;45335;634.677306454;2;1;0.5;0.01;1000000;10
data/a4a;./svm-cuda-train;23.790000;45335;1905.63261875;2;1;0.5;0.01;1000000;10
data/a4a;./svm-train;432.980000;550555;1271.54833942;0;1;0.5;0.01;1000000;10
data/a4a;./svm-cuda-train;218.270000;550555;2522.35763046;0;1;0.5;0.01;1000000;10
data/breast-cancer_scale;./svm-train;0.370000;3219;8700.0;2;1;0.5;0.01;1000000;10
data/breast-cancer_scale;./svm-cuda-train;1.020000;3219;3155.88235294;2;1;0.5;0.01;1000000;10
data/breast-cancer_scale;./svm-train;0.300000;9440;31466.6666667;0;1;0.5;0.01;1000000;10
data/breast-cancer_scale;./svm-cuda-train;2.970000;9440;3178.45117845;0;1;0.5;0.01;1000000;10
data/ionosphere_scale;./svm-train;0.430000;3332;7748.8372093;2;1;0.5;0.01;1000000;10
data/ionosphere_scale;./svm-cuda-train;0.990000;3332;3365.65656566;2;1;0.5;0.01;1000000;10
data/ionosphere_scale;./svm-train;1.070000;23196;21678.5046729;0;1;0.5;0.01;1000000;10
data/ionosphere_scale;./svm-cuda-train;6.300000;23196;3681.9047619;0;1;0.5;0.01;1000000;10
data/a1a;./svm-train;2.240000;12798;5713.39285714;2;1;0.5;0.01;1000000;1000
data/a1a;./svm-cuda-train;6.710000;12798;1907.30253353;2;1;0.5;0.01;1000000;1000
data/a1a;./svm-train;2.490000;162225;65150.6024096;0;1;0.5;0.01;1000000;1000
data/a1a;./svm-cuda-train;83.630000;162225;1939.79433218;0;1;0.5;0.01;1000000;1000
data/a2a;./svm-train;6.640000;22310;3359.93975904;2;1;0.5;0.01;1000000;1000
data/a2a;./svm-cuda-train;12.330000;22310;1809.40794809;2;1;0.5;0.01;1000000;1000
data/a2a;./svm-train;27.740000;254870;9187.81542898;0;1;0.5;0.01;1000000;1000
data/a2a;./svm-cuda-train;137.240000;265416;1933.95511513;0;1;0.5;0.01;1000000;1000
data/a3a;./svm-train;18.290000;29188;1595.84472389;2;1;0.5;0.01;1000000;1000
data/a3a;./svm-cuda-train;16.600000;29405;1771.38554217;2;1;0.5;0.01;1000000;1000
data/a3a;./svm-train;103.000000;346153;3360.70873786;0;1;0.5;0.01;1000000;1000
data/a3a;./svm-cuda-train;161.930000;346153;2137.67059841;0;1;0.5;0.01;1000000;1000
data/a4a;./svm-train;68.590000;45335;660.95640764;2;1;0.5;0.01;1000000;1000
data/a4a;./svm-cuda-train;23.860000;45335;1900.04191115;2;1;0.5;0.01;1000000;1000
data/a4a;./svm-train;350.220000;550555;1572.02615499;0;1;0.5;0.01;1000000;1000
data/a4a;./svm-cuda-train;234.470000;550555;2348.08291039;0;1;0.5;0.01;1000000;1000
data/breast-cancer_scale;./svm-train;0.050000;3219;64380.0;2;1;0.5;0.01;1000000;1000
data/breast-cancer_scale;./svm-cuda-train;1.080000;3219;2980.55555556;2;1;0.5;0.01;1000000;1000
data/breast-cancer_scale;./svm-train;0.060000;9440;157333.333333;0;1;0.5;0.01;1000000;1000
data/breast-cancer_scale;./svm-cuda-train;3.080000;9440;3064.93506494;0;1;0.5;0.01;1000000;1000
data/ionosphere_scale;./svm-train;0.040000;3332;83300.0;2;1;0.5;0.01;1000000;1000
data/ionosphere_scale;./svm-cuda-train;1.020000;3332;3266.66666667;2;1;0.5;0.01;1000000;1000
data/ionosphere_scale;./svm-train;0.080000;23196;289950.0;0;1;0.5;0.01;1000000;1000
data/ionosphere_scale;./svm-cuda-train;6.470000;23196;3585.16228748;0;1;0.5;0.01;1000000;1000
2010-10-28 02:58:42.291850
