
2010-10-17 15:03:32.224493
Filename;seriell;time;iters;i/t;kernel;c;gamma;e;i
data/a1a;True;7.390000;17208;2328.55209743;2;1;0.5;0.01;1000000
data/a1a;True;7.400000;17208;2325.40540541;2;1;0.5;0.01;1000000
data/a1a;True;7.390000;17208;2328.55209743;2;1;0.5;0.01;1000000
data/a1a;True;7.380000;17208;2331.70731707;2;1;0.5;0.01;1000000
data/a1a;True;7.380000;17208;2331.70731707;2;1;0.5;0.01;1000000
data/a1a;True;7.400000;17208;2325.40540541;2;1;0.5;0.01;1000000
data/a1a;True;7.400000;17208;2325.40540541;2;1;0.5;0.01;1000000
data/a1a;True;7.390000;17208;2328.55209743;2;1;0.5;0.01;1000000
data/a1a;False;62.530000;124265;1987.28610267;2;1;0.5;0.01;1000000
data/a1a;False;62.570000;124265;1986.01566246;2;1;0.5;0.01;1000000
data/a1a;False;62.590000;124265;1985.38105129;2;1;0.5;0.01;1000000
data/a1a;False;62.550000;124265;1986.65067946;2;1;0.5;0.01;1000000
data/a1a;False;62.650000;124265;1983.47964884;2;1;0.5;0.01;1000000
data/a1a;False;62.580000;124265;1985.69830617;2;1;0.5;0.01;1000000
data/a1a;False;62.560000;124265;1986.3331202;2;1;0.5;0.01;1000000
data/a1a;False;62.650000;124265;1983.47964884;2;1;0.5;0.01;1000000
data/a1a;False;62.550000;124265;1986.65067946;2;1;0.5;0.01;1000000
